radeg,decdeg,Johnson_V,Johnson_B
19.053789,58.881825,13.912,15.752
18.838551,58.864239,15,15.747
18.647505,59.019676,15.192,15.745
19.184977,59.021224,15.024,15.74
18.895714,59.022905,14.333,15.731
18.775895,58.867301,14.293,15.723
19.133037,58.651414,14.987,15.714
18.465579,58.806998,14.738,15.712
19.295022,59.020015,14.837,15.694
18.625198,58.876584,15.303,15.678
19.301348,58.846328,14.945,15.677
18.563848,58.954394,14.82,15.668
18.690869,58.638163,14.9,15.664
18.633284,58.710198,15.014,15.663
18.66142,59.030843,14.231,15.661
19.372233,58.909433,15.156,15.658
19.170423,59.017914,14.697,15.658
19.193914,58.767616,14.175,15.65
18.972288,58.833557,15.265,15.636
19.065732,58.930514,14.114,15.625
19.31666,58.658994,14.666,15.613
18.556577,58.962751,14.918,15.612
19.332415,58.959021,14.801,15.611
19.03712,58.594949,14.988,15.609
19.166274,58.699453,14.903,15.607
18.697139,58.62693,15.033,15.602
19.25049,58.919619,14.893,15.6
19.263248,58.994582,14.71,15.598
19.303642,58.766353,14.72,15.588
19.115585,58.997083,14.172,15.577
19.132206,58.701722,14.745,15.571
18.691561,58.672845,14.794,15.566
19.180134,58.970635,14.634,15.562
18.696835,58.62713,15.126,15.559
18.615662,58.78949,14.905,15.559
18.987648,59.054102,14.821,15.546
18.711831,58.975619,14.751,15.546
19.354148,58.876473,14.317,15.543
19.303446,58.812505,14.748,15.532
19.377671,58.80302,15.054,15.523
19.000805,58.729344,14.703,15.518
19.217024,58.997026,14.074,15.517
18.639808,58.704803,14.252,15.513
18.819809,58.744604,14.226,15.508
19.083851,58.888332,13.763,15.502
18.722034,59.000351,13.967,15.501
19.199177,58.684552,14.235,15.499
19.028171,58.842931,14.98,15.486
18.920143,58.572412,14.676,15.484
19.216087,58.849471,14.7,15.482
18.687951,58.779243,14.028,15.466
18.67123,58.814016,14.632,15.464
18.900789,59.003699,14.535,15.462
18.656736,58.955197,14.22,15.462
19.191459,58.635849,14.65,15.449
18.765767,58.684478,14.384,15.43
19.460047,58.763548,13.916,15.422
