radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr,Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.141073,0.394,-10.207683,0.278,17.536,0.069,18.242,0.078,17.647,0.038,17.221,0.052
196.005915,0.733,-10.484066,0.535,17.499,0.171,17.865,0.219,17.618,0.058,17.273,0.117
196.121355,0.765,-10.419944,0.307,17.446,0.172,18.355,0.258,17.724,0.011,17.123,0.011
196.18612,0.429,-10.314409,0.503,17.398,0.015,17.917,0.194,17.783,0.111,17.64,0.148
196.139402,0.223,-10.265101,0.303,17.373,0.165,18.212,0.247,17.757,0.032,17.248,0.154
196.169029,0.572,-10.269053,0.445,17.219,0.144,17.895,0.177,17.663,0.082,17.133,0.082
196.164711,0.472,-10.211953,0.358,17.166,0.287,17.828,0.114,17.574,0.058,17.026,0.065
196.137951,0.518,-10.348025,0.371,17.149,0.115,17.712,0.222,17.606,0.114,17.059,0.062
196.101813,0.615,-10.536232,0.327,17.136,0.133,18.468,0.287,17.858,0.164,17.33,0.183
196.061052,0.253,-10.437848,0.331,17.061,0.165,17.768,0.097,17.437,0.068,16.851,0.164
196.093298,0.685,-10.465554,0.489,17.058,0.026,17.746,0.049,17.423,0.118,16.926,0.144
196.190962,0.551,-10.298615,0.353,17.047,0.074,17.798,0.173,17.299,0.07,16.834,0.184
195.971341,0.363,-10.333488,0.348,17.008,0.062,17.784,0.182,17.405,0.075,16.907,0.081
196.063062,0.523,-10.237975,0.434,16.991,0.106,17.477,0.097,17.455,0.077,17.034,0.17
196.147417,0.754,-10.196912,0.43,16.918,0.142,17.675,0.175,17.233,0.072,16.651,0.055
196.176504,0.41,-10.229093,0.36,16.886,0.102,17.598,0.142,17.198,0.061,16.68,0.075
195.943783,0.478,-10.486984,0.375,16.871,0.111,17.568,0.054,17.272,0.033,16.603,0.146
196.081648,0.308,-10.340214,0.302,16.791,0.166,17.636,0.228,17.134,0.039,16.358,0.011
195.871882,0.413,-10.303714,0.337,16.777,0.117,17.404,0.108,17.138,0.019,16.602,0.099
196.071414,0.502,-10.489892,0.316,16.637,0.112,17.385,0.108,17.056,0.111,16.365,0.091
196.154751,0.435,-10.458465,0.382,16.619,0.097,17.357,0.171,16.935,0.027,16.487,0.099
196.220709,0.645,-10.282148,0.367,16.611,0.141,17.556,0.04,17.074,0.086,16.328,0.066
196.177607,0.467,-10.420659,0.229,16.549,0.123,17.362,0.122,16.907,0.046,16.473,0.055
196.106468,0.407,-10.471837,0.273,16.54,0.063,17.524,0.071,17.059,0.055,16.284,0.079
196.133356,0.351,-10.512347,0.258,16.473,0.073,17.421,0.167,16.952,0.049,16.028,0.112
196.036624,0.268,-10.253005,0.218,16.249,0.063,16.989,0.121,16.613,0.055,16.02,0.048
195.97987,0.408,-10.513388,0.314,16.235,0.073,17.176,0.078,16.772,0.046,15.957,0.077
196.186535,0.278,-10.242163,0.375,16.207,0.073,16.778,0.066,16.419,0.03,15.988,0.048
196.036354,0.43,-10.529796,0.261,16.193,0.069,16.99,0.054,16.566,0.034,15.938,0.046
196.048412,0.315,-10.394205,0.247,16.19,0.067,16.898,0.043,16.59,0.05,16.102,0.061
196.00754,0.335,-10.254564,0.145,16.176,0.108,16.62,0.036,16.342,0.038,16.022,0.046
196.124561,0.321,-10.498901,0.173,16.121,0.04,17.584,0.121,16.901,0.036,15.484,0.057
195.975428,0.479,-10.319634,0.235,16.12,0.082,16.823,0.061,16.413,0.046,15.942,0.062
196.154625,0.265,-10.463377,0.237,16.115,0.074,16.775,0.053,16.44,0.033,16.003,0.041
