radeg,"raerr("")",decdeg,"decerr("")",Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.240709,0.22,-10.021809,0.111,18.203,0.163,17.13,0.135
196.417136,0.634,-10.380234,0.429,17.76,0.169,17.126,0.186
196.149722,0.498,-9.999869,0.512,18.125,0.086,17.125,0.223
196.121355,0.765,-10.419944,0.307,17.724,0.011,17.123,0.011
195.951114,0.775,-10.029455,0.539,17.985,0.205,17.12,0.068
196.375088,0.471,-10.413189,0.422,17.688,0.106,17.119,0.239
196.122571,0.306,-10.732926,0.3,17.646,0.104,17.108,0.184
196.315033,0.622,-10.464236,0.379,18.168,0.157,17.107,0.132
195.902554,0.621,-10.406711,0.645,18.076,0.046,17.1,0.081
195.968109,0.5,-10.457176,0.374,17.855,0.127,17.094,0.239
196.13049,0.439,-10.163893,0.45,17.712,0.209,17.091,0.165
195.837666,0.385,-10.133212,0.412,17.769,0.16,17.085,0.108
196.021816,0.441,-10.574747,0.373,17.383,0.093,17.082,0.152
196.086316,0.475,-10.049492,0.116,18.348,0.193,17.073,0.136
195.972247,0.744,-10.535723,0.288,17.602,0.105,17.07,0.13
196.068099,0.337,-10.652195,0.269,17.543,0.129,17.069,0.147
196.415847,0.276,-10.190934,0.197,17.458,0.024,17.068,0.064
195.956826,0.399,-9.981193,0.395,17.857,0.074,17.066,0.283
195.757247,0.603,-10.073357,0.487,17.327,0.102,17.065,0.101
196.137951,0.518,-10.348025,0.371,17.606,0.114,17.059,0.062
196.145329,0.786,-10.231931,0.343,18.149,0.01,17.056,0.096
196.298242,0.327,-10.547678,0.3,17.885,0.107,17.056,0.073
196.141916,0.7,-10.271126,0.35,18.125,0.164,17.055,0.178
196.097826,0.653,-10.561817,0.246,17.677,0.04,17.053,0.071
196.084495,0.502,-10.005993,0.608,18.279,0.29,17.05,0.174
196.448423,0.289,-10.268854,0.263,17.858,0.136,17.04,0.149
196.289768,0.558,-10.385121,0.607,17.796,0.095,17.035,0.208
196.063062,0.523,-10.237975,0.434,17.455,0.077,17.034,0.17
196.164711,0.472,-10.211953,0.358,17.574,0.058,17.026,0.065
195.92753,0.098,-10.423967,0.038,17.901,0.127,17.018,0.126
196.112826,0.302,-10.63162,0.322,18.616,0.282,17.006,0.179
196.368987,0.411,-10.4417,0.544,17.647,0.258,16.994,0.134
196.100164,0.652,-10.180899,0.598,17.756,0.137,16.977,0.183
195.975412,0.49,-10.6154,0.456,17.272,0.078,16.954,0.061
195.850287,0.253,-10.577607,0.295,17.872,0.149,16.941,0.066
196.241483,0.674,-10.049116,0.411,17.357,0.101,16.931,0.133
195.714626,0.472,-10.191073,0.36,17.414,0.062,16.927,0.161
195.765855,0.408,-10.372126,0.438,17.786,0.061,16.926,0.088
196.093298,0.685,-10.465554,0.489,17.423,0.118,16.926,0.144
196.043002,0.362,-10.699966,0.565,17.678,0.163,16.917,0.189
195.75449,0.567,-10.393392,0.5,17.404,0.043,16.916,0.109
196.269322,0.654,-10.31146,0.349,17.401,0.104,16.909,0.096
195.971341,0.363,-10.333488,0.348,17.405,0.075,16.907,0.081
196.059329,1.029,-10.697406,0.869,17.481,0.032,16.906,0.038
195.934338,0.339,-10.580687,0.379,18.203,0.028,16.905,0.088
196.053775,0.374,-10.236218,0.352,18.263,0.093,16.903,0.136
196.081901,0.518,-10.04434,0.343,17.315,0.12,16.9,0.18
195.864696,0.745,-10.221827,0.018,18.125,0.246,16.899,0.147
195.777461,0.455,-10.610869,0.368,17.45,0.124,16.895,0.154
196.245196,0.299,-10.258162,0.392,17.677,0.16,16.877,0.14
196.072423,0.498,-10.681351,0.304,18.23,0.122,16.868,0.059
195.855059,0.526,-10.626932,0.229,18.119,0.278,16.868,0.18
195.96622,0.557,-10.131231,0.439,17.429,0.087,16.865,0.079
195.681398,0.448,-10.433157,0.441,17.252,0.085,16.864,0.112
196.061052,0.253,-10.437848,0.331,17.437,0.068,16.851,0.164
196.190962,0.551,-10.298615,0.353,17.299,0.07,16.834,0.184
196.315754,0.333,-10.380081,0.368,18.024,0.164,16.832,0.159
