radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr,Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
195.949061,0.351,-10.112899,0.355,16.46,0.095,17.297,0.065,16.873,0.041,16.202,0.047
195.792841,0.248,-10.430646,0.387,16.198,0.1,16.894,0.113,16.511,0.023,16.106,0.039
195.783805,0.367,-10.4813,0.236,16.2,0.063,17.07,0.139,16.594,0.054,16.104,0.042
196.048412,0.315,-10.394205,0.247,16.19,0.067,16.898,0.043,16.59,0.05,16.102,0.061
195.919343,0.445,-10.171353,0.357,16.262,0.087,16.94,0.054,16.565,0.039,16.061,0.065
195.834234,0.371,-10.280462,0.25,16.306,0.068,17.348,0.08,16.824,0.035,16.032,0.078
196.133356,0.351,-10.512347,0.258,16.473,0.073,17.421,0.167,16.952,0.049,16.028,0.112
196.00754,0.335,-10.254564,0.145,16.176,0.108,16.62,0.036,16.342,0.038,16.022,0.046
196.036624,0.268,-10.253005,0.218,16.249,0.063,16.989,0.121,16.613,0.055,16.02,0.048
196.248981,0.456,-10.284965,0.233,16.165,0.045,16.645,0.168,16.328,0.025,16.017,0.097
196.268301,0.352,-10.403598,0.235,16.196,0.054,16.883,0.109,16.521,0.015,16.006,0.064
196.154625,0.265,-10.463377,0.237,16.115,0.074,16.775,0.053,16.44,0.033,16.003,0.041
195.864925,0.284,-10.279638,0.287,16.131,0.072,16.942,0.086,16.531,0.051,15.994,0.06
195.935171,0.263,-10.506033,0.229,16.093,0.031,16.872,0.117,16.436,0.038,15.991,0.047
196.186535,0.278,-10.242163,0.375,16.207,0.073,16.778,0.066,16.419,0.03,15.988,0.048
196.095674,0.424,-10.201118,0.222,16.018,0.048,16.468,0.084,16.184,0.049,15.98,0.07
195.97987,0.408,-10.513388,0.314,16.235,0.073,17.176,0.078,16.772,0.046,15.957,0.077
196.253735,0.285,-10.325798,0.203,16.126,0.06,17.089,0.078,16.553,0.041,15.954,0.065
195.975428,0.479,-10.319634,0.235,16.12,0.082,16.823,0.061,16.413,0.046,15.942,0.062
196.036354,0.43,-10.529796,0.261,16.193,0.069,16.99,0.054,16.566,0.034,15.938,0.046
195.908519,0.383,-10.176862,0.228,16.176,0.09,16.943,0.168,16.461,0.021,15.915,0.041
196.162629,0.26,-10.265068,0.216,16.014,0.038,16.517,0.047,16.26,0.014,15.915,0.066
195.901682,0.351,-10.402487,0.299,16.086,0.053,16.866,0.081,16.416,0.048,15.883,0.048
195.759621,0.497,-10.358565,0.282,16.192,0.068,17.253,0.078,16.659,0.044,15.879,0.034
195.860582,0.449,-10.467565,0.252,16.146,0.082,17.036,0.063,16.526,0.083,15.875,0.079
