radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
196.334308,0.521,-10.608491,0.52,15.302,0.03,6,16.208,0.046,6,NA,NA,0,15.721,0.028,6,15.025,0.073,6,14.706,0.3,6,NA,NA,0,NA,NA,0
196.335173,0.371,-10.315438,0.292,16.892,0.032,2,17.909,0.303,2,NA,NA,0,17.731,0.211,5,16.669,0.109,5,16.415,0.171,3,NA,NA,0,NA,NA,0
196.336082,0.176,-10.304121,0.139,12.192,0.013,6,13.465,0.021,6,NA,NA,0,12.782,0.011,6,11.782,0.027,6,11.396,0.201,6,11.13,0.052,3,NA,NA,0
196.33714,0.599,-10.452662,0.502,16.168,0.071,6,16.9,0.132,6,NA,NA,0,16.482,0.072,6,15.92,0.054,6,15.682,0.138,3,NA,NA,0,NA,NA,0
196.337441,0.62,-10.581079,0.498,16.264,0.068,3,17.586,0.251,3,NA,NA,0,17.004,0.076,6,15.956,0.097,5,15.398,0.147,5,NA,NA,0,NA,NA,0
196.337819,0.187,-10.449329,0.305,14.224,0.022,6,14.948,0.041,6,NA,NA,0,14.523,0.027,6,14.053,0.032,6,13.934,0.191,6,13.697,0.18,1,NA,NA,0
196.343479,0.853,-10.290876,0.463,16.671,0.092,1,18.26,0.245,1,NA,NA,0,17.494,0.093,6,16.126,0.159,6,15.152,0.084,6,NA,NA,0,NA,NA,0
196.351207,0.24,-10.214032,0.062,NA,NA,0,NA,NA,0,NA,NA,0,18.215,0.184,1,NA,NA,0,15.824,0.155,1,NA,NA,0,NA,NA,0
196.354038,0.153,-10.156491,0.183,13.01,0.029,6,13.69,0.024,6,NA,NA,0,13.31,0.028,6,12.823,0.045,6,12.679,0.21,6,12.593,0.119,3,NA,NA,0
196.355364,0.434,-10.614993,0.458,16.565,0.084,6,17.257,0.189,6,NA,NA,0,16.878,0.039,6,16.341,0.102,6,16.142,0.178,5,NA,NA,0,NA,NA,0
196.356225,0.295,-10.39091,0.221,15.594,0.044,6,15.94,0.043,6,NA,NA,0,15.703,0.043,6,15.493,0.063,6,15.574,0.064,5,NA,NA,0,NA,NA,0
196.356296,0.648,-10.229903,0.25,16.57,0.077,3,18.203,0.284,3,NA,NA,0,17.383,0.09,5,15.98,0.027,5,15.101,0.061,5,NA,NA,0,NA,NA,0
196.358756,0.396,-10.525555,0.345,15.241,0.078,6,16.127,0.072,6,NA,NA,0,15.677,0.024,6,14.866,0.03,6,14.623,0.203,6,NA,NA,0,NA,NA,0
196.359853,0.308,-10.419385,0.274,15.419,0.033,6,16.378,0.059,6,NA,NA,0,15.891,0.048,6,15.099,0.035,6,14.853,0.104,6,NA,NA,0,NA,NA,0
196.360902,0.338,-10.446953,0.31,16.09,0.026,6,16.949,0.075,6,NA,NA,0,16.502,0.04,6,15.841,0.076,6,15.613,0.078,5,NA,NA,0,NA,NA,0
196.361926,0.252,-10.398604,0.203,16.513,0.103,6,16.985,0.176,6,NA,NA,0,16.73,0.049,5,16.634,0.084,5,16.648,0.217,1,NA,NA,0,NA,NA,0
196.36236,0.31,-10.146911,0.441,16.71,0.064,4,17.666,0.11,4,NA,NA,0,17.2,0.051,5,16.317,0.044,5,16.374,0.256,4,NA,NA,0,NA,NA,0
196.362709,0.197,-10.324948,0.097,10.541,0.034,9,11.212,0.014,6,NA,NA,0,10.952,0.189,9,10.378,0.033,9,10.231,0.176,9,10.17,0.035,3,NA,NA,0
196.364173,0.23,-10.531561,0.192,13.17,0.016,6,14.176,0.034,6,NA,NA,0,13.627,0.021,6,12.873,0.022,6,12.589,0.187,6,12.367,0.129,3,NA,NA,0
196.364982,0.266,-10.344607,0.253,15.995,0.097,6,16.812,0.066,6,NA,NA,0,16.361,0.045,6,15.766,0.093,6,15.52,0.275,5,NA,NA,0,NA,NA,0
196.367478,0.417,-10.132871,0.219,17.958,0.309,1,18.295,0.301,1,NA,NA,0,18.056,0.239,3,17.298,0.177,3,NA,NA,0,NA,NA,0,NA,NA,0
196.368668,0.594,-10.421121,0.518,NA,NA,0,NA,NA,0,NA,NA,0,17.428,0.123,4,16.786,0.063,4,NA,NA,0,NA,NA,0,NA,NA,0
196.368987,0.411,-10.4417,0.544,17.261,0.155,1,18.105,0.222,1,NA,NA,0,17.647,0.258,4,16.994,0.134,4,16.34,0.214,1,NA,NA,0,NA,NA,0
196.369469,0.278,-10.562392,0.219,15.61,0.036,6,16.5,0.044,6,NA,NA,0,15.999,0.056,6,15.46,0.068,6,15.251,0.14,5,NA,NA,0,NA,NA,0
196.370102,0.233,-10.556599,0.244,15.744,0.047,6,16.524,0.068,6,NA,NA,0,16.116,0.038,6,15.56,0.088,6,15.418,0.046,5,NA,NA,0,NA,NA,0
196.370117,0.185,-10.114757,0.099,10.229,0.068,9,10.9,0.041,9,NA,NA,0,10.648,0.24,9,10.059,0.075,8,9.94,0.231,4,9.853,0.054,3,NA,NA,0
196.37235,0.302,-10.580889,0.219,14.852,0.024,6,15.917,0.058,6,NA,NA,0,15.34,0.036,6,14.505,0.032,6,14.17,0.17,6,13.587,0.171,1,NA,NA,0
196.375088,0.471,-10.413189,0.422,17.22,0.225,3,17.867,0.234,3,NA,NA,0,17.688,0.106,5,17.119,0.239,5,16.67,0.236,1,NA,NA,0,NA,NA,0
196.376365,0.682,-10.438202,0.553,16.334,0.064,4,17.387,0.229,4,NA,NA,0,16.82,0.045,4,16.061,0.026,4,15.576,0.101,3,NA,NA,0,NA,NA,0
196.380084,0.366,-10.440341,0.181,16.518,0.003,2,17.713,0.076,2,NA,NA,0,17.337,0.141,4,15.915,0.065,4,14.887,0.091,3,NA,NA,0,NA,NA,0
196.385201,0.724,-10.240661,0.391,16.608,0.081,6,17.437,0.156,6,NA,NA,0,17.007,0.063,6,16.382,0.181,6,16.085,0.169,5,NA,NA,0,NA,NA,0
196.387591,0.472,-10.555382,0.256,15.2,0.111,6,15.39,0.163,6,NA,NA,0,15.287,0.146,6,15.168,0.112,6,15.24,0.081,6,NA,NA,0,NA,NA,0
196.389149,0.46,-10.203187,0.379,16.183,0.049,6,17.276,0.139,6,NA,NA,0,16.798,0.071,6,15.666,0.063,6,15.414,0.139,6,NA,NA,0,NA,NA,0
196.389617,0.191,-10.528227,0.182,13.232,0.008,6,13.715,0.015,6,NA,NA,0,13.418,0.008,6,13.15,0.035,6,13.069,0.172,6,12.934,0.191,3,NA,NA,0
196.391684,0.315,-10.486847,0.283,14.495,0.031,6,15.143,0.019,6,NA,NA,0,14.762,0.017,6,14.315,0.022,6,14.154,0.174,6,NA,NA,0,NA,NA,0
196.393571,0.44,-10.122909,0.399,17.028,0.056,2,17.728,0.196,2,NA,NA,0,17.663,0.051,5,17.17,0.169,5,NA,NA,0,NA,NA,0,NA,NA,0
196.396525,0.657,-10.175988,0.413,17.444,0.053,2,18.012,0.076,2,NA,NA,0,17.623,0.083,5,17.238,0.237,5,NA,NA,0,NA,NA,0,NA,NA,0
196.398832,0.484,-10.322247,0.378,17.527,0.18,1,17.707,0.156,1,NA,NA,0,17.714,0.108,1,17.392,0.173,1,NA,NA,0,NA,NA,0,NA,NA,0
